Prevalence,FailureToTreat,UnnecessaryUse,Total,UnnecessaryUsePercentage,FailureToTreatPercentage,Sample
0.0,0.0,37581.0,45425.0,0.8273197578425977,0.0,Top 10 sites
0.002,0.0,32814.0,45425.0,0.7223775454045129,0.0,Top 10 sites
0.004,4.0,31711.0,45425.0,0.6980957622454596,8.805723720418272e-05,Top 10 sites
0.006,5.0,31477.0,45425.0,0.6929444138690148,0.0001100715465052284,Top 10 sites
0.008,7.0,31194.0,45425.0,0.686714364336819,0.00015410016510731975,Top 10 sites
0.01,9.0,30984.0,45425.0,0.6820913593835993,0.0001981287837094111,Top 10 sites
0.012,22.0,29795.0,45425.0,0.6559163456246561,0.00048431480462300495,Top 10 sites
0.014,26.0,29499.0,45425.0,0.6494001100715465,0.0005723720418271877,Top 10 sites
0.016,32.0,29107.0,45425.0,0.6407705008255365,0.0007044578976334617,Top 10 sites
0.018000000000000002,34.0,28994.0,45425.0,0.6382828838745185,0.0007484865162355531,Top 10 sites
0.02,34.0,28994.0,45425.0,0.6382828838745185,0.0007484865162355531,Top 10 sites
0.022,46.0,28428.0,45425.0,0.6258227848101265,0.0010126582278481013,Top 10 sites
0.024,58.0,27925.0,45425.0,0.6147495872317006,0.0012768299394606494,Top 10 sites
0.026000000000000002,58.0,27925.0,45425.0,0.6147495872317006,0.0012768299394606494,Top 10 sites
0.028,64.0,27704.0,45425.0,0.6098844248761696,0.0014089157952669234,Top 10 sites
0.03,80.0,27170.0,45425.0,0.5981287837094111,0.0017611447440836544,Top 10 sites
0.032,102.0,26467.0,45425.0,0.582652724270776,0.0022454595487066595,Top 10 sites
0.034,121.0,25905.0,45425.0,0.5702806824435883,0.0026637314254265273,Top 10 sites
0.036000000000000004,121.0,25905.0,45425.0,0.5702806824435883,0.0026637314254265273,Top 10 sites
0.038,121.0,25905.0,45425.0,0.5702806824435883,0.0026637314254265273,Top 10 sites
0.04,121.0,25905.0,45425.0,0.5702806824435883,0.0026637314254265273,Top 10 sites
0.042,143.0,25388.0,45425.0,0.5588992845349477,0.003148046230049532,Top 10 sites
0.044,143.0,25388.0,45425.0,0.5588992845349477,0.003148046230049532,Top 10 sites
0.046,155.0,25133.0,45425.0,0.5532856356631811,0.0034122179416620803,Top 10 sites
0.048,168.0,24867.0,45425.0,0.5474298293891029,0.0036984039625756744,Top 10 sites
0.05,168.0,24867.0,45425.0,0.5474298293891029,0.0036984039625756744,Top 10 sites
0.052000000000000005,168.0,24867.0,45425.0,0.5474298293891029,0.0036984039625756744,Top 10 sites
0.054,188.0,24512.0,45425.0,0.5396147495872317,0.004138690148596588,Top 10 sites
0.056,188.0,24512.0,45425.0,0.5396147495872317,0.004138690148596588,Top 10 sites
0.058,201.0,24295.0,45425.0,0.5348376444689048,0.004424876169510181,Top 10 sites
0.06,201.0,24295.0,45425.0,0.5348376444689048,0.004424876169510181,Top 10 sites
0.062,219.0,24017.0,45425.0,0.528717666483214,0.004821133736929004,Top 10 sites
0.064,225.0,23927.0,45425.0,0.52673637864612,0.0049532195927352776,Top 10 sites
0.066,244.0,23657.0,45425.0,0.5207925151348376,0.005371491469455146,Top 10 sites
0.068,264.0,23377.0,45425.0,0.5146285085305449,0.0058117776554760595,Top 10 sites
0.07,271.0,23282.0,45425.0,0.5125371491469455,0.0059658778205833795,Top 10 sites
0.07200000000000001,312.0,22745.0,45425.0,0.500715465052284,0.006868464501926252,Top 10 sites
0.074,330.0,22516.0,45425.0,0.49567418822234455,0.007264722069345074,Top 10 sites
0.076,352.0,22243.0,45425.0,0.48966428178315907,0.007749036873968079,Top 10 sites
0.078,434.0,21257.0,45425.0,0.467958172812328,0.009554210236653825,Top 10 sites
0.08,453.0,21034.0,45425.0,0.4630489818381948,0.009972482113373694,Top 10 sites
0.082,473.0,20805.0,45425.0,0.4580077050082554,0.010412768299394606,Top 10 sites
0.084,516.0,20333.0,45425.0,0.4476169510181618,0.01135938359933957,Top 10 sites
0.08600000000000001,552.0,19948.0,45425.0,0.43914144193725924,0.012151898734177215,Top 10 sites
0.088,576.0,19697.0,45425.0,0.4336158503026967,0.012680242157402311,Top 10 sites
0.09,576.0,19697.0,45425.0,0.4336158503026967,0.012680242157402311,Top 10 sites
0.092,587.0,19588.0,45425.0,0.4312162905888828,0.012922399559713815,Top 10 sites
0.094,654.0,18937.0,45425.0,0.41688497523390206,0.014397358282883875,Top 10 sites
0.096,665.0,18833.0,45425.0,0.41459548706659327,0.014639515685195377,Top 10 sites
0.098,688.0,18621.0,45425.0,0.4099284534947716,0.015145844799119427,Top 10 sites
0.1,688.0,18621.0,45425.0,0.4099284534947716,0.015145844799119427,Top 10 sites
0.10200000000000001,709.0,18433.0,45425.0,0.405789763346175,0.015608145294441387,Top 10 sites
0.10400000000000001,714.0,18389.0,45425.0,0.404821133736929,0.015718216840946615,Top 10 sites
