,CLINIC,YEAR,TOTAL,CipRsum
0,ALB,2000,161,0
1,ALB,2001,147,0
2,ALB,2002,190,0
3,ALB,2003,160,0
4,ALB,2004,53,0
5,ALB,2005,88,0
6,ALB,2006,151,11
7,ALB,2007,156,26
8,ALB,2008,102,7
9,ALB,2009,96,7
10,ALB,2010,105,24
11,ALB,2011,152,33
12,ALB,2012,152,25
13,ALB,2013,139,21
14,ALB,2014,114,7
15,ALB,2015,115,11
16,ALB,2016,140,22
17,ALB,2017,137,31
18,ALB,2018,185,23
19,ALB,2019,119,35
20,ALB,2020,118,48
21,ALB,2021,94,25
22,ALB,2022,91,20
23,ANC,2000,29,2
24,ANC,2001,53,0
25,ANC,2002,27,1
26,ANC,2003,25,0
27,ANC,2018,17,9
28,ANC,2019,59,30
29,ANC,2020,20,6
30,ANC,2021,18,5
31,ANC,2022,10,1
32,ATL,2000,266,0
33,ATL,2001,201,0
34,ATL,2002,248,0
35,ATL,2003,253,0
36,ATL,2004,116,1
37,ATL,2005,237,9
38,ATL,2006,246,14
39,ATL,2007,78,2
40,ATL,2008,184,19
41,ATL,2009,232,12
42,ATL,2010,287,14
43,ATL,2011,277,20
44,ATL,2012,277,20
45,ATL,2013,300,32
46,ATL,2014,300,57
47,ATL,2015,299,59
48,ATL,2016,287,82
49,ATL,2017,201,68
50,ATL,2018,143,48
51,BAL,2000,290,0
52,BAL,2001,293,0
53,BAL,2002,299,0
54,BAL,2003,288,1
55,BAL,2004,294,3
56,BAL,2005,297,9
57,BAL,2006,277,4
58,BAL,2007,296,6
59,BAL,2008,297,16
60,BAL,2009,276,14
61,BAL,2010,244,25
62,BAL,2011,293,5
63,BAL,2012,300,16
64,BAL,2013,300,58
65,BAL,2019,101,42
66,BAL,2022,12,3
67,BHM,2000,299,0
68,BHM,2001,299,0
69,BHM,2002,299,0
70,BHM,2003,290,0
71,BHM,2004,288,0
72,BHM,2005,286,3
73,BHM,2006,274,3
74,BHM,2007,278,26
75,BHM,2008,240,20
76,BHM,2009,209,21
77,BHM,2010,266,29
78,BHM,2011,212,38
79,BHM,2012,300,44
80,BHM,2013,153,13
81,BHM,2014,223,35
82,BHM,2015,175,27
83,BHM,2016,189,31
84,BHM,2017,123,29
85,BHM,2018,98,25
86,BHM,2019,103,38
87,BHM,2020,111,55
88,BHM,2021,161,71
89,BHM,2022,112,65
90,BOS,2014,27,4
91,BOS,2015,38,6
92,BOS,2016,29,13
93,BOS,2017,31,13
94,BOS,2018,35,16
95,BUF,2014,87,13
96,BUF,2015,140,30
97,BUF,2016,141,54
98,BUF,2017,136,21
99,BUF,2018,163,24
100,BUF,2019,67,25
101,BUF,2020,13,5
102,BUF,2021,25,2
103,BUF,2022,37,2
104,CAM,2019,44,19
105,CAM,2020,53,34
106,CAM,2021,13,6
107,CHI,2000,222,0
108,CHI,2001,272,0
109,CHI,2002,283,0
110,CHI,2003,284,6
111,CHI,2004,300,7
112,CHI,2005,279,13
113,CHI,2006,296,12
114,CHI,2007,268,23
115,CHI,2008,262,14
116,CHI,2009,235,23
117,CHI,2010,125,24
118,CHI,2011,269,28
119,CHI,2012,275,23
