YEAR,CLINIC,TOTAL,CipRsum,CipRsum_prevalence
2000,ALB,147,0,0.0
2000,MIN,171,0,0.0
2000,BHM,299,0,0.0
2000,CLE,270,0,0.0
2000,PHX,285,0,0.0
2001,CHI,283,0,0.0
2001,BHM,299,0,0.0
2001,PHI,300,3,0.01
2001,CLE,276,0,0.0
2001,NOR,197,0,0.0
2002,DAL,294,6,0.02040816326530612
2002,CLE,292,1,0.003424657534246575
2002,CHI,284,6,0.02112676056338028
2002,BHM,290,0,0.0
2002,ALB,160,0,0.0
2003,ALB,53,0,0.0
2003,POR,191,22,0.11518324607329843
2003,PHX,289,19,0.0657439446366782
2003,NOR,194,3,0.015463917525773196
2003,ORA,161,33,0.20496894409937888
2004,DAL,281,9,0.03202846975088968
2004,PHX,283,20,0.0706713780918728
2004,PHI,300,43,0.14333333333333334
2004,CLE,283,8,0.028268551236749116
2004,POR,238,55,0.23109243697478993
2005,NOR,49,5,0.10204081632653061
2005,ALB,151,11,0.0728476821192053
2005,POR,169,46,0.27218934911242604
2005,DAL,296,18,0.060810810810810814
2005,PHX,270,32,0.11851851851851852
2006,MIN,252,27,0.10714285714285714
2006,PHX,275,24,0.08727272727272728
2006,DAL,295,22,0.07457627118644068
2006,NOR,249,45,0.18072289156626506
2006,HON,70,20,0.2857142857142857
2007,POR,157,81,0.5159235668789809
2007,CHI,262,14,0.05343511450381679
2007,HON,79,32,0.4050632911392405
2007,SEA,163,51,0.3128834355828221
2007,MIN,184,14,0.07608695652173914
2008,ORA,82,15,0.18292682926829268
2008,MIN,123,30,0.24390243902439024
2008,BHM,209,21,0.10047846889952153
2008,SFO,260,26,0.1
2008,SEA,162,34,0.20987654320987653
2009,MIN,71,17,0.23943661971830985
2009,BHM,266,29,0.10902255639097744
2009,SFO,230,42,0.1826086956521739
2009,PHI,296,41,0.13851351351351351
2009,SEA,238,114,0.4789915966386555
2010,PHI,288,22,0.0763888888888889
2010,PHX,300,32,0.10666666666666667
2010,DAL,267,12,0.0449438202247191
2010,SFO,212,68,0.32075471698113206
2010,ALB,152,33,0.21710526315789475
2011,POR,115,24,0.20869565217391303
2011,ORA,124,42,0.3387096774193548
2011,SEA,149,48,0.3221476510067114
2011,SFO,258,85,0.32945736434108525
2011,PHX,300,32,0.10666666666666667
2012,NOR,209,25,0.11961722488038277
2012,ORA,124,55,0.4435483870967742
2012,SEA,143,63,0.4405594405594406
2012,BHM,153,13,0.08496732026143791
2012,SDG,176,56,0.3181818181818182
2013,HON,122,48,0.39344262295081966
2013,PHI,300,69,0.23
2013,SDG,218,66,0.30275229357798167
2013,BHM,223,35,0.15695067264573992
2013,ALB,114,7,0.06140350877192982
2014,DAL,283,48,0.1696113074204947
2014,CHI,150,22,0.14666666666666667
2014,PHX,300,86,0.2866666666666667
2014,SFO,300,90,0.3
2014,POR,148,51,0.34459459459459457
2015,CHI,125,28,0.224
2015,CLE,120,11,0.09166666666666666
2015,POR,147,70,0.47619047619047616
2015,ORA,194,74,0.38144329896907214
2015,DAL,300,74,0.24666666666666667
2016,ALB,137,31,0.22627737226277372
2016,MIN,64,18,0.28125
2016,CLE,73,12,0.1643835616438356
2016,POR,119,46,0.3865546218487395
2016,CHI,158,38,0.24050632911392406
2017,ALB,185,23,0.12432432432432433
2017,CHI,103,22,0.21359223300970873
2017,POR,124,28,0.22580645161290322
2017,SFO,242,101,0.41735537190082644
2017,SEA,224,98,0.4375
2018,CLE,64,8,0.125
2018,DAL,300,85,0.2833333333333333
2018,SDG,133,79,0.5939849624060151
2018,PHI,300,159,0.53
2018,ORA,156,84,0.5384615384615384
2019,BHM,111,55,0.4954954954954955
2019,SEA,176,44,0.25
2019,HON,32,13,0.40625
2019,NOR,87,35,0.40229885057471265
2019,ALB,118,48,0.4067796610169492
2020,PHX,280,92,0.32857142857142857
2020,ALB,94,25,0.26595744680851063
2020,HON,49,15,0.30612244897959184
2020,POR,77,26,0.33766233766233766
2020,ORA,160,51,0.31875
2021,MIN,113,24,0.21238938053097345
2021,NOR,66,24,0.36363636363636365
2021,CLE,24,8,0.3333333333333333
2021,ALB,91,20,0.21978021978021978
2021,PHX,235,64,0.2723404255319149
2022,DAL,193,68,0.35233160621761656
2022,PHI,255,87,0.3411764705882353
2022,SDG,18,12,0.6666666666666666
2022,BHM,112,65,0.5803571428571429
2022,SEA,179,83,0.46368715083798884
