Prevalence,FailureToTreat,UnnecessaryUse,Total,UnnecessaryUsePercentage,FailureToTreatPercentage,Sample
0.0,0,103711,123718,0.8382854556329717,0.0,Total
0.002,0,103711,123718,0.8382854556329717,0.0,Total
0.004,19,98269,123718,0.7942983236069125,0.00015357506587562037,Total
0.006,19,98269,123718,0.7942983236069125,0.00015357506587562037,Total
0.008,57,92837,123718,0.750392020562893,0.0004607251976268611,Total
0.01,57,92837,123718,0.750392020562893,0.0004607251976268611,Total
0.012,57,92837,123718,0.750392020562893,0.0004607251976268611,Total
0.014,57,92837,123718,0.750392020562893,0.0004607251976268611,Total
0.016,57,92837,123718,0.750392020562893,0.0004607251976268611,Total
0.018000000000000002,57,92837,123718,0.750392020562893,0.0004607251976268611,Total
0.02,57,92837,123718,0.750392020562893,0.0004607251976268611,Total
0.022,173,87612,123718,0.7081588774470974,0.0013983413892885432,Total
0.024,173,87612,123718,0.7081588774470974,0.0013983413892885432,Total
0.026000000000000002,173,87612,123718,0.7081588774470974,0.0013983413892885432,Total
0.028,173,87612,123718,0.7081588774470974,0.0013983413892885432,Total
0.03,173,87612,123718,0.7081588774470974,0.0013983413892885432,Total
0.032,173,87612,123718,0.7081588774470974,0.0013983413892885432,Total
0.034,173,87612,123718,0.7081588774470974,0.0013983413892885432,Total
0.036000000000000004,173,87612,123718,0.7081588774470974,0.0013983413892885432,Total
0.038,173,87612,123718,0.7081588774470974,0.0013983413892885432,Total
0.04,173,87612,123718,0.7081588774470974,0.0013983413892885432,Total
0.042,442,81353,123718,0.6575680175883865,0.0035726410061591683,Total
0.044,442,81353,123718,0.6575680175883865,0.0035726410061591683,Total
0.046,442,81353,123718,0.6575680175883865,0.0035726410061591683,Total
0.048,442,81353,123718,0.6575680175883865,0.0035726410061591683,Total
0.05,442,81353,123718,0.6575680175883865,0.0035726410061591683,Total
0.052000000000000005,442,81353,123718,0.6575680175883865,0.0035726410061591683,Total
0.054,442,81353,123718,0.6575680175883865,0.0035726410061591683,Total
0.056,442,81353,123718,0.6575680175883865,0.0035726410061591683,Total
0.058,442,81353,123718,0.6575680175883865,0.0035726410061591683,Total
0.06,442,81353,123718,0.6575680175883865,0.0035726410061591683,Total
0.062,442,81353,123718,0.6575680175883865,0.0035726410061591683,Total
0.064,442,81353,123718,0.6575680175883865,0.0035726410061591683,Total
0.066,442,81353,123718,0.6575680175883865,0.0035726410061591683,Total
0.068,869,75465,123718,0.6099759129633522,0.007024038539258637,Total
0.07,869,75465,123718,0.6099759129633522,0.007024038539258637,Total
0.07200000000000001,869,75465,123718,0.6099759129633522,0.007024038539258637,Total
0.074,869,75465,123718,0.6099759129633522,0.007024038539258637,Total
0.076,869,75465,123718,0.6099759129633522,0.007024038539258637,Total
0.078,869,75465,123718,0.6099759129633522,0.007024038539258637,Total
0.08,869,75465,123718,0.6099759129633522,0.007024038539258637,Total
0.082,869,75465,123718,0.6099759129633522,0.007024038539258637,Total
0.084,869,75465,123718,0.6099759129633522,0.007024038539258637,Total
0.08600000000000001,869,75465,123718,0.6099759129633522,0.007024038539258637,Total
0.088,869,75465,123718,0.6099759129633522,0.007024038539258637,Total
0.09,869,75465,123718,0.6099759129633522,0.007024038539258637,Total
0.092,869,75465,123718,0.6099759129633522,0.007024038539258637,Total
0.094,1450,69849,123718,0.5645823566498004,0.011720202395771028,Total
0.096,1450,69849,123718,0.5645823566498004,0.011720202395771028,Total
0.098,1991,64766,123718,0.5234969850789699,0.016093050324124218,Total
0.1,1991,64766,123718,0.5234969850789699,0.016093050324124218,Total
0.10200000000000001,1991,64766,123718,0.5234969850789699,0.016093050324124218,Total
0.10400000000000001,1991,64766,123718,0.5234969850789699,0.016093050324124218,Total
0.106,1991,64766,123718,0.5234969850789699,0.016093050324124218,Total
0.108,1991,64766,123718,0.5234969850789699,0.016093050324124218,Total
0.11,1991,64766,123718,0.5234969850789699,0.016093050324124218,Total
0.112,1991,64766,123718,0.5234969850789699,0.016093050324124218,Total
0.114,1991,64766,123718,0.5234969850789699,0.016093050324124218,Total
0.116,1991,64766,123718,0.5234969850789699,0.016093050324124218,Total
0.11800000000000001,1991,64766,123718,0.5234969850789699,0.016093050324124218,Total
0.12,1991,64766,123718,0.5234969850789699,0.016093050324124218,Total
0.122,1991,64766,123718,0.5234969850789699,0.016093050324124218,Total
0.124,1991,64766,123718,0.5234969850789699,0.016093050324124218,Total
0.126,2700,59786,123718,0.4832441520231494,0.021823825150746053,Total
0.128,2700,59786,123718,0.4832441520231494,0.021823825150746053,Total
0.13,2700,59786,123718,0.4832441520231494,0.021823825150746053,Total
0.132,2700,59786,123718,0.4832441520231494,0.021823825150746053,Total
0.134,3426,55048,123718,0.4449473803326921,0.027692009246835545,Total
0.136,4201,50100,123718,0.40495320001939894,0.03395625535492006,Total
0.138,4201,50100,123718,0.40495320001939894,0.03395625535492006,Total
0.14,5044,44855,123718,0.36255839893952374,0.04077013854087522,Total
0.14200000000000002,5044,44855,123718,0.36255839893952374,0.04077013854087522,Total
0.14400000000000002,5044,44855,123718,0.36255839893952374,0.04077013854087522,Total
0.146,5044,44855,123718,0.36255839893952374,0.04077013854087522,Total
0.148,5853,40183,123718,0.3247950985305291,0.047309203187895055,Total
0.15,6744,35065,123718,0.2834268255225594,0.05451106548764125,Total
0.152,6744,35065,123718,0.2834268255225594,0.05451106548764125,Total
0.154,6744,35065,123718,0.2834268255225594,0.05451106548764125,Total
0.156,6744,35065,123718,0.2834268255225594,0.05451106548764125,Total
0.158,6744,35065,123718,0.2834268255225594,0.05451106548764125,Total
0.16,6744,35065,123718,0.2834268255225594,0.05451106548764125,Total
0.162,7695,30082,123718,0.24314974377212695,0.062197901679626244,Total
0.164,7695,30082,123718,0.24314974377212695,0.062197901679626244,Total
0.166,7695,30082,123718,0.24314974377212695,0.062197901679626244,Total
0.168,7695,30082,123718,0.24314974377212695,0.062197901679626244,Total
0.17,7695,30082,123718,0.24314974377212695,0.062197901679626244,Total
0.17200000000000001,7695,30082,123718,0.24314974377212695,0.062197901679626244,Total
0.17400000000000002,7695,30082,123718,0.24314974377212695,0.062197901679626244,Total
0.176,7695,30082,123718,0.24314974377212695,0.062197901679626244,Total
0.178,7695,30082,123718,0.24314974377212695,0.062197901679626244,Total
0.18,7695,30082,123718,0.24314974377212695,0.062197901679626244,Total
0.182,7695,30082,123718,0.24314974377212695,0.062197901679626244,Total
0.184,7695,30082,123718,0.24314974377212695,0.062197901679626244,Total
