Threshold,Slope,Lambda
0.002,-23.26765799256505,0.04297811151941206
0.012,-9.395563770794833,0.10643320873499891
0.022,-6.52617079889807,0.15322921063739978
0.032,-6.384516129032258,0.15662894098625707
0.042,-5.775030902348571,0.17315924657534268
0.052000000000000005,-5.744107744107746,0.17409144196951928
0.062,-5.239747634069404,0.1908488862131245
0.07200000000000001,-3.4738675958188163,0.2878635907723169
0.082,-2.7315340909090886,0.36609464378575174
0.092,-2.3208661417322856,0.430873621713316
0.10200000000000001,-2.3208661417322856,0.430873621713316
0.112,-2.2038533250466132,0.45375070501974046
0.122,-2.183232497839241,0.4580364212193188
0.132,-2.043859649122803,0.4892703862660954
0.14200000000000002,-1.874422187981513,0.5334977394163576
0.152,-1.823104693140795,0.5485148514851482
