Threshold,Slope,Lambda
0.0,-12.25339056,0.08161006499412518
0.002,-11.90716764616604,0.08398302851828811
0.004,-11.56673632706416,0.08645481073690366
0.006,-11.232096602694359,0.08903057330900446
0.008,-10.903248473056639,0.09171578566434871
0.01,-10.580191938151,0.09451624373600546
0.012,-10.26292699797744,0.09743808956227346
0.014,-9.95145365253596,0.10048783171945606
0.016,-9.64577190182656,0.10367236652264566
0.018000000000000002,-9.34588174584924,0.10699899990111977
0.02,-9.051783184604,0.11047546981691744
0.022,-8.76347621809084,0.11410996904808787
0.024,-8.48096084630976,0.11791116810014758
0.026000000000000002,-8.20423706926076,0.1218882379382663
0.028,-7.933304886943839,0.12605087214607627
0.03,-7.668164299359,0.1304093080117744
0.032,-7.40881530650624,0.13497434591490282
0.034,-7.155257908385559,0.13975736623386506
0.036000000000000004,-6.907492104996959,0.14477034281032164
0.038,-6.66551789634044,0.15002585178700498
0.04,-6.429335282416,0.1555370743745413
0.042,-6.198944263223639,0.16131779179443204
0.044,-5.9743448387633595,0.1673823702829634
0.046,-5.75553700903516,0.17374573361793688
0.048,-5.542520774039039,0.18042332014053294
0.05,-5.335296133775,0.18743102068309148
0.052000000000000005,-5.133863088243039,0.19478509317673093
0.054,-4.93822163744316,0.20250204900032906
0.056,-4.748371781375359,0.21059850534920657
0.058,-4.564313520039639,0.21909099706001692
0.06,-4.386046853436,0.22799574045056234
0.062,-4.21357178156444,0.2373283408568666
0.064,-4.046888304424961,0.24710343473195862
0.066,-3.885996422017559,0.25733425649445474
0.068,-3.730896134342238,0.26803211989612286
0.07,-3.581587441399,0.2792058036727399
0.07200000000000001,-3.4380703431878388,0.2908608318562739
0.074,-3.3003448397087602,0.3029986406172772
0.076,-3.168410930961759,0.31561562618913636
0.078,-3.0422686169468385,0.32870207266693646
0.08,-2.9219178976640006,0.34224096467579557
0.082,-2.80735877311324,0.3562066984730431
0.084,-2.6985912432945582,0.3705637163408106
0.08600000000000001,-2.595615308207961,0.3852651033601779
0.088,-2.498430967853439,0.4002512028015581
0.09,-2.407038222231,0.4154483259817681
0.092,-2.3214370713406396,0.4307676535132162
0.094,-2.24162751518236,0.4461044456436592
0.096,-2.167609553756158,0.46133769721910606
0.098,-2.0993831870620383,0.47633038416366497
0.1,-2.0369484151000012,0.490930448992694
0.10200000000000001,-1.9803052378700379,0.5049726581926192
0.10400000000000001,-1.9294536553721606,0.51828143019435
0.106,-1.884393667606357,0.5306746765235343
0.108,-1.8451252745726396,0.5419686206572699
0.11,-1.8116484762709995,0.5519834631817463
0.112,-1.7839632727014383,0.5605496566561652
0.114,-1.762069663863958,0.5675144521852491
0.116,-1.7459676497585583,0.5727482981361569
0.11800000000000001,-1.7356572303852378,0.5761506261106895
0.12,-1.7311384057440016,0.577654563425981
0.122,-1.7324111758348373,0.5772301714216931
0.124,-1.7394755406577573,0.5748859220071957
0.126,-1.75233150021276,0.5706682781645965
0.128,-1.7709790544998398,0.5646594167554512
0.13,-1.7954182035189987,0.5569732990564603
0.132,-1.8256489472702402,0.5477504322477917
0.134,-1.8616712857535624,0.5371517558725318
0.136,-1.9034852189689566,0.5253521225353465
