Prevalence,FailureToTreat,UnnecessaryUse,Total,UnnecessaryUsePercentage,FailureToTreatPercentage,Sample
"[0.   0.02 0.04 0.06 0.08 0.1  0.12 0.14 0.16 0.18 0.2  0.22 0.24 0.26
 0.28 0.3  0.32 0.34 0.36 0.38 0.4  0.42 0.44 0.46 0.48 0.5  0.52 0.54
 0.56 0.58 0.6  0.62 0.64 0.66 0.68 0.7  0.72 0.74 0.76 0.78 0.8  0.82
 0.84 0.86 0.88 0.9  0.92 0.94 0.96 0.98 1.  ]","[    0.    57.   173.   442.   869.  1450.  1450.  2293.  6744.  7695.
  8670.  8670.  9818.  9818. 11226. 11226. 14359. 14359. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007.]","[103711.  92837.  87612.  81353.  75465.  69849.  69849.  64604.  35065.
  30082.  25974.  25974.  21986.  21986.  18140.  18140.  11057.  11057.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.]",123718,"[0.83828546 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]",Total
"[0.   0.02 0.04 0.06 0.08 0.1  0.12 0.14 0.16 0.18 0.2  0.22 0.24 0.26
 0.28 0.3  0.32 0.34 0.36 0.38 0.4  0.42 0.44 0.46 0.48 0.5  0.52 0.54
 0.56 0.58 0.6  0.62 0.64 0.66 0.68 0.7  0.72 0.74 0.76 0.78 0.8  0.82
 0.84 0.86 0.88 0.9  0.92 0.94 0.96 0.98 1.  ]","[    0.    57.   173.   442.   869.  1450.  1450.  2293.  6744.  7695.
  8670.  8670.  9818.  9818. 11226. 11226. 14359. 14359. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007.]","[103711.  92837.  87612.  81353.  75465.  69849.  69849.  64604.  35065.
  30082.  25974.  25974.  21986.  21986.  18140.  18140.  11057.  11057.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.]",123718,"[0.83828546 0.75039202 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]","[0.         0.00046073 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",Total
"[0.   0.02 0.04 0.06 0.08 0.1  0.12 0.14 0.16 0.18 0.2  0.22 0.24 0.26
 0.28 0.3  0.32 0.34 0.36 0.38 0.4  0.42 0.44 0.46 0.48 0.5  0.52 0.54
 0.56 0.58 0.6  0.62 0.64 0.66 0.68 0.7  0.72 0.74 0.76 0.78 0.8  0.82
 0.84 0.86 0.88 0.9  0.92 0.94 0.96 0.98 1.  ]","[    0.    57.   173.   442.   869.  1450.  1450.  2293.  6744.  7695.
  8670.  8670.  9818.  9818. 11226. 11226. 14359. 14359. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007.]","[103711.  92837.  87612.  81353.  75465.  69849.  69849.  64604.  35065.
  30082.  25974.  25974.  21986.  21986.  18140.  18140.  11057.  11057.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.]",123718,"[0.83828546 0.75039202 0.70815888 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]","[0.         0.00046073 0.00139834 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",Total
"[0.   0.02 0.04 0.06 0.08 0.1  0.12 0.14 0.16 0.18 0.2  0.22 0.24 0.26
 0.28 0.3  0.32 0.34 0.36 0.38 0.4  0.42 0.44 0.46 0.48 0.5  0.52 0.54
 0.56 0.58 0.6  0.62 0.64 0.66 0.68 0.7  0.72 0.74 0.76 0.78 0.8  0.82
 0.84 0.86 0.88 0.9  0.92 0.94 0.96 0.98 1.  ]","[    0.    57.   173.   442.   869.  1450.  1450.  2293.  6744.  7695.
  8670.  8670.  9818.  9818. 11226. 11226. 14359. 14359. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007.]","[103711.  92837.  87612.  81353.  75465.  69849.  69849.  64604.  35065.
  30082.  25974.  25974.  21986.  21986.  18140.  18140.  11057.  11057.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.]",123718,"[0.83828546 0.75039202 0.70815888 0.65756802 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]","[0.         0.00046073 0.00139834 0.00357264 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",Total
"[0.   0.02 0.04 0.06 0.08 0.1  0.12 0.14 0.16 0.18 0.2  0.22 0.24 0.26
 0.28 0.3  0.32 0.34 0.36 0.38 0.4  0.42 0.44 0.46 0.48 0.5  0.52 0.54
 0.56 0.58 0.6  0.62 0.64 0.66 0.68 0.7  0.72 0.74 0.76 0.78 0.8  0.82
 0.84 0.86 0.88 0.9  0.92 0.94 0.96 0.98 1.  ]","[    0.    57.   173.   442.   869.  1450.  1450.  2293.  6744.  7695.
  8670.  8670.  9818.  9818. 11226. 11226. 14359. 14359. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007.]","[103711.  92837.  87612.  81353.  75465.  69849.  69849.  64604.  35065.
  30082.  25974.  25974.  21986.  21986.  18140.  18140.  11057.  11057.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.]",123718,"[0.83828546 0.75039202 0.70815888 0.65756802 0.60997591 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]","[0.         0.00046073 0.00139834 0.00357264 0.00702404 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",Total
"[0.   0.02 0.04 0.06 0.08 0.1  0.12 0.14 0.16 0.18 0.2  0.22 0.24 0.26
 0.28 0.3  0.32 0.34 0.36 0.38 0.4  0.42 0.44 0.46 0.48 0.5  0.52 0.54
 0.56 0.58 0.6  0.62 0.64 0.66 0.68 0.7  0.72 0.74 0.76 0.78 0.8  0.82
 0.84 0.86 0.88 0.9  0.92 0.94 0.96 0.98 1.  ]","[    0.    57.   173.   442.   869.  1450.  1450.  2293.  6744.  7695.
  8670.  8670.  9818.  9818. 11226. 11226. 14359. 14359. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007.]","[103711.  92837.  87612.  81353.  75465.  69849.  69849.  64604.  35065.
  30082.  25974.  25974.  21986.  21986.  18140.  18140.  11057.  11057.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.]",123718,"[0.83828546 0.75039202 0.70815888 0.65756802 0.60997591 0.56458236
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]","[0.         0.00046073 0.00139834 0.00357264 0.00702404 0.0117202
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",Total
"[0.   0.02 0.04 0.06 0.08 0.1  0.12 0.14 0.16 0.18 0.2  0.22 0.24 0.26
 0.28 0.3  0.32 0.34 0.36 0.38 0.4  0.42 0.44 0.46 0.48 0.5  0.52 0.54
 0.56 0.58 0.6  0.62 0.64 0.66 0.68 0.7  0.72 0.74 0.76 0.78 0.8  0.82
 0.84 0.86 0.88 0.9  0.92 0.94 0.96 0.98 1.  ]","[    0.    57.   173.   442.   869.  1450.  1450.  2293.  6744.  7695.
  8670.  8670.  9818.  9818. 11226. 11226. 14359. 14359. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007.]","[103711.  92837.  87612.  81353.  75465.  69849.  69849.  64604.  35065.
  30082.  25974.  25974.  21986.  21986.  18140.  18140.  11057.  11057.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.]",123718,"[0.83828546 0.75039202 0.70815888 0.65756802 0.60997591 0.56458236
 0.56458236 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]","[0.         0.00046073 0.00139834 0.00357264 0.00702404 0.0117202
 0.0117202  0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",Total
"[0.   0.02 0.04 0.06 0.08 0.1  0.12 0.14 0.16 0.18 0.2  0.22 0.24 0.26
 0.28 0.3  0.32 0.34 0.36 0.38 0.4  0.42 0.44 0.46 0.48 0.5  0.52 0.54
 0.56 0.58 0.6  0.62 0.64 0.66 0.68 0.7  0.72 0.74 0.76 0.78 0.8  0.82
 0.84 0.86 0.88 0.9  0.92 0.94 0.96 0.98 1.  ]","[    0.    57.   173.   442.   869.  1450.  1450.  2293.  6744.  7695.
  8670.  8670.  9818.  9818. 11226. 11226. 14359. 14359. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007.]","[103711.  92837.  87612.  81353.  75465.  69849.  69849.  64604.  35065.
  30082.  25974.  25974.  21986.  21986.  18140.  18140.  11057.  11057.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.]",123718,"[0.83828546 0.75039202 0.70815888 0.65756802 0.60997591 0.56458236
 0.56458236 0.52218756 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]","[0.         0.00046073 0.00139834 0.00357264 0.00702404 0.0117202
 0.0117202  0.01853409 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",Total
"[0.   0.02 0.04 0.06 0.08 0.1  0.12 0.14 0.16 0.18 0.2  0.22 0.24 0.26
 0.28 0.3  0.32 0.34 0.36 0.38 0.4  0.42 0.44 0.46 0.48 0.5  0.52 0.54
 0.56 0.58 0.6  0.62 0.64 0.66 0.68 0.7  0.72 0.74 0.76 0.78 0.8  0.82
 0.84 0.86 0.88 0.9  0.92 0.94 0.96 0.98 1.  ]","[    0.    57.   173.   442.   869.  1450.  1450.  2293.  6744.  7695.
  8670.  8670.  9818.  9818. 11226. 11226. 14359. 14359. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007.]","[103711.  92837.  87612.  81353.  75465.  69849.  69849.  64604.  35065.
  30082.  25974.  25974.  21986.  21986.  18140.  18140.  11057.  11057.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.]",123718,"[0.83828546 0.75039202 0.70815888 0.65756802 0.60997591 0.56458236
 0.56458236 0.52218756 0.28342683 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]","[0.         0.00046073 0.00139834 0.00357264 0.00702404 0.0117202
 0.0117202  0.01853409 0.05451107 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",Total
"[0.   0.02 0.04 0.06 0.08 0.1  0.12 0.14 0.16 0.18 0.2  0.22 0.24 0.26
 0.28 0.3  0.32 0.34 0.36 0.38 0.4  0.42 0.44 0.46 0.48 0.5  0.52 0.54
 0.56 0.58 0.6  0.62 0.64 0.66 0.68 0.7  0.72 0.74 0.76 0.78 0.8  0.82
 0.84 0.86 0.88 0.9  0.92 0.94 0.96 0.98 1.  ]","[    0.    57.   173.   442.   869.  1450.  1450.  2293.  6744.  7695.
  8670.  8670.  9818.  9818. 11226. 11226. 14359. 14359. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007. 20007.
 20007.]","[103711.  92837.  87612.  81353.  75465.  69849.  69849.  64604.  35065.
  30082.  25974.  25974.  21986.  21986.  18140.  18140.  11057.  11057.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0.      0.      0.      0.      0.]",123718,"[0.83828546 0.75039202 0.70815888 0.65756802 0.60997591 0.56458236
 0.56458236 0.52218756 0.28342683 0.24314974 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]","[0.         0.00046073 0.00139834 0.00357264 0.00702404 0.0117202
 0.0117202  0.01853409 0.05451107 0.0621979  0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",Total
