CLINIC,YEAR,TOTAL,CipR_Sum,CipR_Sum_prevalence
CLINIC_000,2000,10000,0,0.0
CLINIC_000,2001,10000,122,0.012246120441013364
CLINIC_000,2002,10000,246,0.024642208347882555
CLINIC_000,2003,10000,371,0.037190100240256596
CLINIC_000,2004,10000,498,0.049891655128025736
CLINIC_000,2005,10000,627,0.06274875478673825
CLINIC_000,2006,10000,757,0.07576330403639364
CLINIC_000,2007,10000,889,0.08893723102364604
CLINIC_000,2008,10000,1022,0.1022724875074652
CLINIC_000,2009,10000,1157,0.11577104914829706
CLINIC_000,2010,10000,1294,0.12943491580076283
CLINIC_000,2011,10000,1432,0.14326611180994475
CLINIC_000,2012,10000,1572,0.1572666863112986
CLINIC_000,2013,10000,1714,0.17143871353423923
CLINIC_000,2014,10000,1857,0.1857842931094451
CLINIC_000,2015,10000,2003,0.20030555037992537
CLINIC_000,2016,10000,2150,0.21500463671589487
CLINIC_000,2017,10000,2298,0.22988372983350747
CLINIC_000,2018,10000,2449,0.24494503411749124
CLINIC_000,2019,10000,2601,0.26019078094773573
CLINIC_000,2020,10000,2756,0.27562322902987635
CLINIC_000,2021,10000,2912,0.2912446647299307
CLINIC_000,2022,10000,3070,0.30705740241302926
CLINIC_001,2000,10000,0,0.0
CLINIC_001,2001,10000,198,0.019827431569506393
CLINIC_001,2002,10000,400,0.040047990181655946
CLINIC_001,2003,10000,606,0.06066947053598537
CLINIC_001,2004,10000,816,0.08169982188090219
CLINIC_001,2005,10000,1031,0.10314715107799288
CLINIC_001,2006,10000,1250,0.12501972572708753
CLINIC_001,2007,10000,1473,0.14732597735328623
CLINIC_001,2008,10000,1700,0.17007450465717544
CLINIC_001,2009,10000,1932,0.1932740768294896
CLINIC_001,2010,10000,2169,0.21693363693149204
CLINIC_001,2011,10000,2410,0.2410623053423815
CLINIC_001,2012,10000,2656,0.2656693832750514
CLINIC_001,2013,10000,2907,0.29076435636155673
CLINIC_001,2014,10000,3163,0.3163568983096732
CLINIC_001,2015,10000,3424,0.34245687463195584
CLINIC_001,2016,10000,3690,0.36907434644873427
CLINIC_001,2017,10000,3962,0.3962195743665131
CLINIC_001,2018,10000,4239,0.4239030224332705
CLINIC_001,2019,10000,4521,0.4521353621721793
CLINIC_001,2020,10000,4809,0.48092747669530844
CLINIC_001,2021,10000,5102,0.5102904648988862
CLINIC_001,2022,10000,5402,0.5402356457417468
CLINIC_002,2000,10000,0,0.0
CLINIC_002,2001,10000,105,0.01053683823918572
CLINIC_002,2002,10000,211,0.021184701438450304
